risk_rank,meeting_id,title,call_type,sentiment_score,risk_score,primary_theme,modules,why_it_matters
1,01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,Support,1.6,10.0,Reliability & Incident Response,Detect; Protect,"Julia reveals Blackridge has had zero threat visibility for over three hours, with a team of analysts staring at a dead screen — a critical situation for a financial services firm that is a constant target."
2,01KQ46A9DE0AECB006D897A0,Detect Outage - Escalation Bridge,Internal,1.8,9.23,Reliability & Incident Response,Detect; Comply,Diana confirms all Detect customers have zero event processing and zero alert visibility during the outage
3,01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,Internal,1.8,8.88,Reliability & Incident Response,Detect; Comply,"Aisha reveals that a customer — not the internal team — flagged the outage at 2 AM, triggering the internal escalation"
4,01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,External Customer,2.4,8.74,Competitive Pressure,Detect; Comply; Identity,"Brianna describes the six-hour Aegis Detect outage on March 10-11, citing lost visibility, compliance obligations, and the failure to be proactively notified by Aegis."
5,01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,External Customer,2.1,8.26,Reliability & Incident Response,Detect; Comply,"Grace describes 36 hours of zero threat monitoring visibility for her security team in a healthcare environment, expressing deep frustration."
6,01KQEDB92E33CF9945A7F71B,URGENT: Cobalt Software - Aegis Detect Dashboard Down,Support,1.8,8.13,Reliability & Incident Response,Detect; Protect,"Lauren reports Aegis Detect dashboard is completely down with zero threat visibility, emphasizing the critical nature of the outage."
7,01KQ6CAA850EAFDC48B52846,Aegis / Ironworks Corp - Vendor Comparison Discussion,External Customer,2.6,8.11,Product Roadmap & Feature Gaps,Detect; Comply,"Catherine reveals they are actively considering leaving Aegis, framing it as a serious internal discussion about fit"
8,01KQ88B8EAEAA819C26CCBE7,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,Support,2.1,7.36,Compliance & Audit Readiness,Detect; Comply,"Grace reveals Northstar is subject to HIPAA and has had zero threat visibility for hours, escalating the severity of the outage"
9,01KQ5A966832A146DA4B7D41,Aegis / Summit Trust - Platform Concerns Discussion,External Customer,2.4,6.59,Identity & Access Management,Detect; Identity,Alicia reveals CISO has warned that failure to demonstrate consistent MFA enforcement by end of Q2 will trigger a platform reassessment
10,01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,Internal,1.8,6.53,Reliability & Incident Response,Detect,Tom reveals the monitoring system failed to catch the outage promptly and the status page wasn't updated for 90 minutes after the initial failure
11,01KQ45C76AF3AEA6B3EA6697,Aegis / Steelpoint Manufacturing - Contract Review,External Customer,2.8,6.38,Reliability & Incident Response,Detect; Comply; Protect,"Harold raises the six-hour outage, noting that going dark on threat detection in a manufacturing OT environment was unacceptable"
12,01KQ7FA71CF70FAFEE4B6251,Aegis / Nova Retail Group - Renewal Discussion,External Customer,2.6,6.31,Competitive Pressure,Detect; Comply,"Stephanie reveals the six-hour Detect outage left Nova with zero threat visibility across 200+ retail locations, calling it a liability and a direct challenge to justify the spend to her CISO."
13,01KQ7BF0D56037FF89DC89B6,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,Support,1.4,6.19,Reliability & Incident Response,Detect; Comply,"Isaac reveals Detect alerts have been completely silent for 15+ hours with stale dashboard data, during peak retail transaction volume"
14,01KQ8C5A044F54EE1774D53C,Aegis / Helix Data - Post-Incident Review,External Customer,2.3,6.18,Reliability & Incident Response,Detect; Comply,Kevin acknowledges a six-hour total loss of threat monitoring visibility and confirms no softening of the severity
15,01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,Internal,2.3,6.18,Competitive Pressure,Detect; Comply,James Mitchell reveals Hartfield Financial has already been contacted by competitor SentinelShield following the outage
