meeting_id,title,call_type,start_time,duration_minutes,sentiment_label,sentiment_score,primary_theme,themes,modules,risk_score,topics,action_item_count,negative_sentence_count,positive_sentence_count,notable_quote
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,Internal,2026-03-16T09:30:00.000Z,35.2,mixed-negative,2.4,Reliability & Incident Response,Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect; Protect,3.89,outage remediation; incident response; customer communication; security monitoring; postmortem planning; infrastructure reliability,4,5,0,"Brian reveals 112 open support tickets tied to the outage, with ~30 from priority 1 or 2 accounts and several vocal customers"
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,Support,2026-02-06T09:15:00.000Z,23.8,mixed-positive,3.8,"Renewal, Churn & Commercial Risk","Renewal, Churn & Commercial Risk; Identity & Access Management; Product Roadmap & Feature Gaps",Detect; Identity,0.7,billing dispute; seat overage; migration cleanup; identity management; billing adjustment; provisioning,4,0,1,"Gregory identifies a 200-seat discrepancy on his January invoice versus his contracted 1,200-seat count"
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,Internal,2026-02-16T10:00:00.000Z,29.0,mixed-positive,3.6,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps; Customer Onboarding & Adoption,Detect; Comply,0.7,pipeline reliability; kafka configuration; sprint planning; comply v2 launch; resource allocation; timeline risk,4,0,0,"Mike honestly assessed end-of-March deadline as 60-40, flagging uncertainty around Kafka and redundant node setup rather than sandbagging"
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,External Customer,2026-04-26T13:30:00.000Z,28.8,very-positive,4.8,Compliance & Audit Readiness,Compliance & Audit Readiness; Customer Onboarding & Adoption,Comply,1.25,iso 27001; compliance reporting; onboarding; healthcare; multi-framework coverage; audit preparation,4,1,28,"Thomas reveals his CISO has been pressuring him about ISO 27001 since January, establishing urgency for the engagement"
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,External Customer,2026-04-11T14:15:00.000Z,41.2,mixed-positive,3.4,Reliability & Incident Response,"Reliability & Incident Response; Renewal, Churn & Commercial Risk; Competitive Pressure; Compliance & Audit Readiness",Detect; Comply,4.85,renewal; outage; competitive threat; compliance; cloud expansion; pricing,4,4,7,"Lauren flags the March Detect outage as a major concern, noting her security team was flying blind for six hours"
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,Internal,2026-02-26T10:15:00.000Z,36.9,mixed-positive,3.4,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps; Identity & Access Management,Detect; Comply; Identity,1.05,soc 2 audit; access control; change management; incident tracking; vendor management; security training,4,4,0,"Tyler flags that the hotfix process has been bypassed, with engineers pushing directly to production and backdating documentation — a likely audit finding."
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,Support,2026-02-21T11:30:00.000Z,15.8,mixed-negative,2.8,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps; Backup & Recovery,Protect,2.78,backup performance; agent version update; technical issue; customer retention; notification gap; escalation,4,13,4,"Kendra describes nightly backup jobs taking 4-6 hours, up from under 90 minutes, lasting three weeks with real operational impact on her retail business"
01KQ1DC6CA536DE1B31ED8F5,Aegis / Atlas Precision - Contract Discussion,External Customer,2026-02-25T15:00:00.000Z,33.5,mixed-positive,3.7,"Renewal, Churn & Commercial Risk","Renewal, Churn & Commercial Risk; Compliance & Audit Readiness",Detect; Comply,1.6,renewal; billing dispute; overage charges; compliance; contract negotiation; product add-on,3,0,2,Wayne raises billing concern — finance team flagged overage charges on two invoices they weren't aware were possible under their current tier
01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,External Customer,2026-03-19T16:00:00.000Z,45.0,mixed-negative,2.4,Competitive Pressure,"Competitive Pressure; Reliability & Incident Response; Compliance & Audit Readiness; Renewal, Churn & Commercial Risk; Product Roadmap & Feature Gaps",Detect; Comply; Identity,8.74,outage; renewal; compliance; competitive evaluation; pricing; sla breach,4,15,7,"Brianna describes the six-hour Aegis Detect outage on March 10-11, citing lost visibility, compliance obligations, and the failure to be proactively notified by Aegis."
01KQ1DE954A807A5D2653175,Comply v2 - Launch Readiness Review,Internal,2026-03-24T14:45:00.000Z,39.3,mixed-positive,3.6,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps; Reliability & Incident Response,Detect; Comply,3.4,launch readiness; compliance reporting; api rate limiting; documentation; incident impact; hipaa,4,3,5,"Chris flags that the Detect outage pulled two engineers for four days, causing a 5-6 day slip on HIPAA and ISO 27001 report generation"
